person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,income_bracket,loan_to_income_pct,dti_risk_band,loan_status_label,has_prior_default,credit_hist_ratio,predicted_default_probability,predicted_risk_tier
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,18-25,150K+,7.92,Very Low,Non-Default,0,0.38,0.2016,Low
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,26-35,150K+,2.6,Very Low,Non-Default,0,0.44,0.1371,Very Low
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,18-25,<25K,20.83,Moderate,Default,0,1.0,0.959,Very High
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,18-25,25-50K,62.5,Very High,Default,0,0.4,0.9961,Very High
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,18-25,50-75K,46.88,Very High,Default,1,0.43,0.9878,Very High
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,18-25,50-75K,40.0,High,Default,1,0.5,0.9578,Very High
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.42,N,4,18-25,50-75K,41.96,Very High,Default,0,0.67,0.992,Very High
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,26-35,50-75K,48.35,Very High,Default,0,0.22,0.9873,Very High
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,18-25,<25K,20.83,Moderate,Default,0,0.43,0.9183,Very High
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,26-35,150K+,6.67,Very Low,Non-Default,0,0.44,0.0252,Very Low
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,18-25,150K+,8.08,Very Low,Non-Default,1,0.33,0.4624,Moderate
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,26-35,150K+,3.33,Very Low,Non-Default,0,0.44,0.1073,Very Low
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,26-35,150K+,8.33,Very Low,Non-Default,0,0.33,0.3327,Low
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,18-25,150K+,6.0,Very Low,Non-Default,0,0.38,0.4996,Moderate
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,26-35,75-100K,37.18,High,Default,0,0.33,0.9194,Very High
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,18-25,50-75K,45.25,High,Default,0,0.6,0.9641,Very High
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,26-35,75-100K,33.7,High,Default,0,0.33,0.9096,Very High
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.38,Y,4,18-25,75-100K,38.46,High,Default,1,0.57,0.9928,Very High
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,18-25,75-100K,38.46,High,Default,1,0.5,0.9885,Very High
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,18-25,75-100K,32.61,High,Default,1,0.5,0.913,Very High
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,18-25,75-100K,30.93,High,Default,0,0.33,0.8735,Very High
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,18-25,100-150K,25.0,Moderate,Non-Default,0,0.5,0.1269,Very Low
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,26-35,150K+,3.57,Very Low,Non-Default,1,0.33,0.2121,Low
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,26-35,150K+,7.22,Very Low,Non-Default,0,0.33,0.0795,Very Low
23,277000,OWN,3.0,PERSONAL,A,35000,7.49,0,0.13,N,4,18-25,150K+,12.64,Low,Non-Default,0,0.67,0.0626,Very Low
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,18-25,100-150K,23.44,Moderate,Non-Default,0,0.5,0.0936,Very Low
24,12000,OWN,2.0,VENTURE,E,1750,16.82,0,0.15,Y,3,18-25,<25K,14.58,Low,Non-Default,1,0.43,0.5757,Moderate
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,18-25,100-150K,22.9,Moderate,Non-Default,0,1.0,0.0572,Very Low
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,18-25,150K+,4.36,Very Low,Non-Default,0,0.4,0.0405,Very Low
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,26-35,150K+,3.8,Very Low,Default,0,0.44,0.1741,Very Low
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,18-25,150K+,11.27,Very Low,Default,0,0.25,0.6577,High
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,18-25,50-75K,41.57,Very High,Default,0,0.6,0.9678,Very High
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,18-25,<25K,12.5,Low,Non-Default,1,0.6,0.7195,High
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,26-35,150K+,10.77,Low,Non-Default,0,0.33,0.1242,Very Low
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,18-25,150K+,7.72,Very Low,Non-Default,1,0.25,0.4712,Moderate
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,18-25,150K+,3.76,Very Low,Non-Default,0,0.29,0.0514,Very Low
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,18-25,150K+,10.0,Very Low,Non-Default,0,0.5,0.1994,Very Low
25,12000,OWN,0.0,MEDICAL,C,3000,13.48,1,0.25,N,3,18-25,<25K,25.0,Moderate,Default,0,0.38,0.9456,Very High
22,56950,RENT,6.0,MEDICAL,A,28000,7.49,1,0.49,N,2,18-25,50-75K,49.17,Very High,Default,0,0.4,0.9678,Very High
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,18-25,<25K,25.0,Moderate,Default,1,0.75,0.9285,Very High
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,18-25,50-75K,43.08,Very High,Default,0,0.33,0.9678,Very High
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,26-35,75-100K,32.94,High,Default,0,0.33,0.9099,Very High
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,26-35,<25K,50.83,Very High,Default,0,0.33,0.9721,Very High
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,18-25,75-100K,31.82,High,Default,0,0.6,0.9121,Very High
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,18-25,<25K,35.0,High,Default,1,1.0,0.9545,Very High
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,18-25,<25K,39.58,High,Default,0,0.4,0.9434,Very High
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,18-25,75-100K,33.73,High,Default,1,0.57,0.9691,Very High
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,18-25,150K+,7.2,Very Low,Non-Default,1,0.43,0.1673,Very Low
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,18-25,75-100K,28.0,Moderate,Non-Default,0,0.38,0.2443,Low
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,26-35,100-150K,25.45,Moderate,Non-Default,0,0.22,0.1533,Very Low
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,7.49,1,0.23,N,4,26-35,<25K,22.5,Moderate,Default,0,0.44,0.9612,Very High
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,18-25,100-150K,25.93,Moderate,Default,0,0.8,0.2616,Low
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,18-25,150K+,18.52,Low,Non-Default,0,0.33,0.1992,Very Low
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,7.49,1,0.4,N,2,18-25,50-75K,40.0,High,Default,0,0.29,0.9592,Very High
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,18-25,<25K,27.08,Moderate,Default,1,0.75,0.9461,Very High
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,18-25,50-75K,39.29,High,Default,1,0.6,0.9637,Very High
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2,18-25,150K+,10.42,Very Low,Non-Default,0,0.4,0.115,Very Low
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,26-35,50-75K,36.95,High,Default,1,0.22,0.9581,Very High
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,18-25,75-100K,32.53,High,Default,1,0.29,0.9236,Very High
24,73399,RENT,0.0,VENTURE,D,27000,15.31,1,0.37,N,3,18-25,50-75K,36.79,High,Default,0,0.43,0.9862,Very High
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,18-25,50-75K,41.6,Very High,Default,0,0.33,0.9593,Very High
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,18-25,100-150K,21.33,Moderate,Non-Default,0,0.5,0.2057,Low
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,18-25,<25K,12.94,Low,Non-Default,0,0.43,0.3236,Low
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,18-25,50-75K,42.46,Very High,Default,0,0.6,0.9651,Very High
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,18-25,150K+,8.55,Very Low,Non-Default,1,0.5,0.1865,Very Low
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,18-25,150K+,8.55,Very Low,Non-Default,0,0.57,0.0956,Very Low
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,26-35,150K+,9.23,Very Low,Non-Default,0,0.33,0.168,Very Low
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,18-25,150K+,5.38,Very Low,Default,1,0.38,0.8788,Very High
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,26-35,150K+,10.75,Low,Non-Default,1,0.22,0.2053,Low
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,18-25,150K+,15.22,Low,Non-Default,0,0.5,0.1692,Very Low
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,18-25,75-100K,30.48,Moderate,Default,0,0.5,0.3303,Low
22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4,18-25,<25K,15.87,Low,Default,0,0.8,0.8419,Very High
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,18-25,<25K,13.89,Low,Non-Default,0,0.38,0.3505,Low
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,18-25,25-50K,58.82,Very High,Default,1,0.75,0.9843,Very High
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,15.31,1,0.61,N,3,18-25,25-50K,60.98,Very High,Default,0,0.43,0.9973,Very High
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,18-25,<25K,23.41,Moderate,Default,1,0.5,0.9411,Very High
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,18-25,<25K,28.16,Moderate,Default,0,0.43,0.9693,Very High
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,26-35,150K+,8.85,Very Low,Non-Default,0,0.44,0.1721,Very Low
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,18-25,150K+,13.33,Low,Non-Default,1,0.25,0.5102,Moderate
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,26-35,150K+,16.43,Low,Default,0,0.22,0.1506,Very Low
24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4,18-25,150K+,2.67,Very Low,Non-Default,0,0.57,0.1387,Very Low
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,18-25,<25K,34.72,High,Default,0,0.57,0.9511,Very High
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,18-25,<25K,18.47,Low,Default,1,0.33,0.8829,Very High
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,18-25,25-50K,59.52,Very High,Default,1,0.4,0.9907,Very High
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,26-35,25-50K,52.08,Very High,Default,0,0.44,0.9853,Very High
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,18-25,<25K,27.7,Moderate,Default,0,0.38,0.8317,Very High
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3,18-25,<25K,36.55,High,Default,0,0.6,0.9513,Very High
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,18-25,25-50K,59.02,Very High,Default,1,0.38,0.9962,Very High
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,18-25,25-50K,51.02,Very High,Default,0,0.5,0.9843,Very High
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,18-25,150K+,11.11,Low,Non-Default,0,0.25,0.4957,Moderate
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,26-35,150K+,1.33,Very Low,Non-Default,0,0.44,0.1456,Very Low
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,18-25,150K+,3.33,Very Low,Non-Default,0,0.33,0.1095,Very Low
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,26-35,150K+,11.11,Low,Non-Default,0,0.22,0.0464,Very Low
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,18-25,25-50K,50.54,Very High,Default,0,0.6,0.9851,Very High
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,18-25,25-50K,50.0,Very High,Default,0,0.5,0.9805,Very High
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,18-25,25-50K,50.0,Very High,Default,0,0.25,0.9226,Very High
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,18-25,25-50K,56.82,Very High,Default,0,0.29,0.9991,Very High
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,18-25,25-50K,50.0,Very High,Default,0,0.67,0.981,Very High
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,18-25,50-75K,50.0,Very High,Default,0,0.4,0.9745,Very High
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,18-25,50-75K,50.0,Very High,Default,0,0.6,0.9756,Very High
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,18-25,50-75K,48.08,Very High,Default,0,0.8,0.9794,Very High
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,18-25,<25K,37.5,High,Default,0,0.67,0.9747,Very High
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,18-25,150K+,11.36,Low,Non-Default,0,0.29,0.1728,Very Low
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,18-25,150K+,9.72,Very Low,Non-Default,0,0.5,0.1014,Very Low
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,18-25,150K+,11.57,Low,Non-Default,0,0.38,0.3533,Low
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,26-35,150K+,9.26,Very Low,Non-Default,1,0.22,0.1728,Very Low
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,18-25,150K+,16.28,Low,Non-Default,1,0.5,0.2224,Low
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,26-35,150K+,5.58,Very Low,Non-Default,0,0.22,0.0725,Very Low
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,18-25,50-75K,48.08,Very High,Default,0,0.33,0.9872,Very High
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,26-35,25-50K,54.35,Very High,Default,0,0.44,0.9903,Very High
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,18-25,50-75K,47.17,Very High,Default,1,0.8,0.9847,Very High
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,26-35,25-50K,53.19,Very High,Default,1,0.22,0.9965,Very High
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,18-25,25-50K,53.19,Very High,Default,0,0.33,0.9939,Very High
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,18-25,<25K,10.61,Low,Non-Default,0,0.67,0.3668,Low
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,18-25,<25K,34.09,High,Default,0,1.0,0.9481,Very High
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,18-25,150K+,7.62,Very Low,Non-Default,0,0.8,0.0409,Very Low
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,26-35,150K+,10.48,Very Low,Non-Default,0,0.44,0.0908,Very Low
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,26-35,25-50K,52.08,Very High,Default,0,0.22,0.9772,Very High
22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4,18-25,50-75K,45.46,Very High,Default,0,0.8,0.978,Very High
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,15.31,1,0.45,Y,4,18-25,50-75K,45.45,Very High,Default,1,0.57,0.9916,Very High
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,18-25,50-75K,45.45,Very High,Default,0,0.5,0.9852,Very High
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,18-25,50-75K,45.45,Very High,Default,1,0.5,0.9874,Very High
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,18-25,50-75K,45.32,Very High,Default,1,0.57,0.9805,Very High
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,26-35,50-75K,44.64,Very High,Default,0,0.22,0.9827,Very High
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,18-25,150K+,9.83,Very Low,Non-Default,0,0.43,0.1003,Very Low
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,18-25,150K+,11.58,Low,Default,1,0.5,0.6761,High
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,18-25,<25K,55.68,Very High,Default,0,0.67,0.8532,Very High
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,18-25,50-75K,41.67,Very High,Default,0,0.43,0.9882,Very High
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,18-25,50-75K,41.67,Very High,Default,0,0.43,0.989,Very High
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,26-35,50-75K,46.3,Very High,Default,1,0.22,0.9943,Very High
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,15.31,1,0.29,N,3,18-25,<25K,28.57,Moderate,Default,0,0.5,0.742,High
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,18-25,150K+,6.0,Very Low,Non-Default,0,0.29,0.1557,Very Low
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,18-25,150K+,6.0,Very Low,Non-Default,0,0.29,0.1501,Very Low
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,18-25,150K+,8.0,Very Low,Non-Default,0,1.0,0.1512,Very Low
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,18-25,50-75K,46.3,Very High,Default,0,0.5,0.9928,Very High
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,18-25,50-75K,41.67,Very High,Default,0,0.5,0.9837,Very High
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,18-25,50-75K,41.67,Very High,Default,0,0.67,0.982,Very High
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,18-25,50-75K,41.67,Very High,Default,0,1.0,0.9754,Very High
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,18-25,50-75K,40.35,High,Default,0,0.25,0.9817,Very High
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,18-25,50-75K,44.33,Very High,Default,1,0.6,0.9958,Very High
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,7.49,0,0.14,N,2,18-25,150K+,14.0,Low,Non-Default,0,0.33,0.0601,Very Low
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,18-25,150K+,12.5,Low,Non-Default,0,0.5,0.1767,Very Low
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,18-25,150K+,12.0,Low,Non-Default,0,0.57,0.0142,Very Low
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,26-35,150K+,7.5,Very Low,Non-Default,0,0.33,0.1606,Very Low
